#tested_degree,N_s,N_t,p,n_runs,msd,pvalue
in,30,30,0.5,1000,0,0.0120550034682
in,30,100,0.5,1000,0,0.179668792861
in,100,100,0.5,1000,0,0.923692137236
in,1000,1000,0.5,1000,0,0.927137752903
out,30,30,0.5,1000,0,0.132302379072
out,30,100,0.5,1000,0,0.0499585095611
out,100,100,0.5,1000,0,0.0823049427778
out,1000,1000,0.5,1000,0,0.74998464769
