#tested_degree,N_s,N_t,p,n_runs,msd,pvalue
in,30,30,0.5,1000,0,0.176263395399
in,30,100,0.5,1000,0,0.0700528512278
in,100,100,0.5,1000,0,0.154530987992
in,1000,1000,0.5,1000,0,0.858117111236
out,30,30,0.5,1000,0,0.0459040982338
out,30,100,0.5,1000,0,0.15084638527
out,100,100,0.5,1000,0,0.919855914832
out,1000,1000,0.5,1000,0,0.268655613855
