#tested_degree,N_s,N_t,p,n_runs,msd,pvalue
in,30,30,0.5,1000,0,0.000703372838287
in,30,100,0.5,1000,0,0.0439897882267
in,100,100,0.5,1000,0,0.451899234013
in,1000,1000,0.5,1000,0,0.762993883478
out,30,30,0.5,1000,0,0.213119594844
out,30,100,0.5,1000,0,0.0643255527391
out,100,100,0.5,1000,0,0.986966232783
out,1000,1000,0.5,1000,0,0.648083127083
