N:       10, seed:  222, num:     2, p_ks: 5.444572e-01, p_z: 1.508841e-01
N:       10, seed:  225, num:     3, p_ks: 8.280830e-01, p_z: 6.304908e-01
N:       10, seed:  228, num:     7, p_ks: 5.538625e-01, p_z: 1.278293e-02
N:       10, seed:  231, num:     2, p_ks: 8.620485e-01, p_z: 4.532385e-01
N:       10, seed:  234, num:     5, p_ks: 9.765162e-01, p_z: 8.217605e-01
N:       10, seed:  237, num:     3, p_ks: 2.477429e-01, p_z: 6.240944e-01
N:       10, seed:  240, num:     2, p_ks: 6.421674e-01, p_z: 6.584411e-01
N:       10, seed:  243, num:     4, p_ks: 2.682354e-01, p_z: 3.060990e-01
N:       10, seed:  246, num:     4, p_ks: 4.301296e-01, p_z: 4.568085e-01
N:       10, seed:  249, num:     7, p_ks: 5.513113e-01, p_z: 8.395428e-01
N:       10, seed:  252, num:     5, p_ks: 2.184655e-01, p_z: 3.001991e-02
N:       10, seed:  255, num:     4, p_ks: 9.752168e-01, p_z: 4.839950e-01
N:       10, seed:  258, num:     6, p_ks: 9.771133e-01, p_z: 7.176304e-01
N:       10, seed:  261, num:     5, p_ks: 2.562410e-01, p_z: 1.820891e-01
N:       10, seed:  264, num:     5, p_ks: 9.740665e-01, p_z: 5.958916e-01
N:       10, seed:  267, num:     4, p_ks: 8.319165e-01, p_z: 5.476306e-01
N:       10, seed:  270, num:     5, p_ks: 2.698835e-01, p_z: 7.079852e-01
N:       10, seed:  273, num:     3, p_ks: 8.215731e-01, p_z: 4.013368e-01
N:       10, seed:  276, num:     2, p_ks: 5.566804e-01, p_z: 2.129764e-01
N:       10, seed:  279, num:     3, p_ks: 2.217730e-01, p_z: 4.203401e-01
N:       10, seed:  282, num:     4, p_ks: 4.013098e-01, p_z: 6.075882e-01
N:       10, seed:  285, num:     4, p_ks: 3.805367e-01, p_z: 2.953560e-01
N:       10, seed:  288, num:     5, p_ks: 9.725854e-01, p_z: 9.915946e-01
N:       10, seed:  291, num:     4, p_ks: 4.297583e-01, p_z: 5.805652e-02
N:       10, seed:  294, num:     4, p_ks: 9.284988e-01, p_z: 9.655680e-01
N:       10, seed:  297, num:     3, p_ks: 5.030450e-01, p_z: 3.594860e-01
N:     1000, seed:    0, num:   338, p_ks: 1.678769e-01, p_z: 2.875726e-01
N:     1000, seed:    3, num:   394, p_ks: 6.884852e-01, p_z: 1.928196e-02
N:     1000, seed:    6, num:   353, p_ks: 9.577874e-01, p_z: 1.038794e-01
N:     1000, seed:    9, num:   356, p_ks: 1.728432e-01, p_z: 6.143888e-02
N:     1000, seed:   12, num:   365, p_ks: 6.648195e-01, p_z: 1.974057e-01
N:     1000, seed:   15, num:   357, p_ks: 7.428626e-01, p_z: 5.290493e-01
N:     1000, seed:   18, num:   392, p_ks: 2.508226e-01, p_z: 3.192897e-01
